FID,SN,GAUGE_NAME,ID,Latitude,Longitude,IM30m,IM1h,IM2h,IM3h,IM6h,IM12h,IM24h,IM2D,IM3D,IM30mR,IM1hR,IM2hR,IM3hR,IM6hR,IM12hR,IM24hR,IM2DR,IM3DR,H30m,H1h,H2h,H3h,H6h,H12h,H24h,H2D,H3D,H30mR,H1hR,H2hR,H3hR,H6hR,H12hR,H24hR,H2DR,H3DR
0,1,ADIN RS,04-0029,41.1936,-120.9447,33.73159756,58.21353001,59.77758348,77.05122696,97.37186107,104.8400776,117.9520476,125.8646189,204.9238132,1.328015652,2.29187126,2.353448169,3.033512872,3.833537837,4.12756211,4.643781402,4.955299957,8.067866661,206.8053135,370.5791632,406.5531843,539.2931628,646.8406693,1293.681339,2587.362677,954.6834445,1513.205257,8.141941477,14.58973083,16.00603088,21.23201428,25.46616808,50.93233616,101.8646723,37.58596238,59.5750101
1,2,AGOURA,97-0575,34.1356,-118.7522,22.41108752,37.64349594,38.0199309,44.13952861,94.22752555,176.3614971,259.4844016,348.93816,477.0388663,0.88232628,1.482027399,1.496847673,1.737776717,3.7097451,6.943366028,10.21592132,13.73772283,18.78105773,102.1613623,220.7075535,187.268837,272.9260474,719.7668755,1439.533751,2879.067502,2453.792336,3259.931128,4.022100877,8.68927376,7.372788858,10.74511998,28.33727856,56.67455712,113.3491142,96.60599748,128.3437452
2,3,AGUA CALIENTE,92-0030,32.9567,-116.2972,18.27213571,23.075066,32.59706395,49.65097961,95.1543292,146.4517427,240.4801765,266.312074,315.6278447,0.719375422,0.908467165,1.283348974,1.954762977,3.746233433,5.765816642,9.467723484,10.48472732,12.4262931,83.59836133,107.9110378,178.7563456,297.4762814,591.135128,1182.270256,2364.540512,1673.374737,1917.251472,3.291274068,4.248466056,7.037651401,11.71166462,23.27303654,46.54607307,93.09214614,65.88089515,75.48234143
3,4,ALAMITOS,83-6001,37.2471,-121.8706,25.75202722,39.71125141,49.19643132,75.44262205,138.2413188,211.2016892,283.9752912,420.5507092,451.6826683,1.013859339,1.563435095,1.936867375,2.97018197,5.442571606,8.315027134,11.18012957,16.55711454,17.78278222,146.4628174,237.7222087,360.549954,617.8221646,1151.939388,2303.878776,4607.757551,3421.834183,3790.232163,5.766252654,9.359142075,14.19488008,24.32370727,45.3519444,90.70388881,181.4077776,134.7178812,149.2217387
4,5,ALDER SPRINGS (ALS),72-0001,39.6606,-122.7087,32.79672456,45.3678602,66.88236013,99.94939827,159.4276946,286.920238,493.4759693,723.8137499,1105.190402,1.291209628,1.786136228,2.633163785,3.93501568,6.27668089,11.29607236,19.42818777,28.49660433,43.51143315,229.4458931,299.9935526,574.2265337,913.7777231,1522.292142,3044.584285,6089.168569,6888.6482,9765.21408,9.033302876,11.81076979,22.60734384,35.97550091,59.93276151,119.865523,239.731046,271.206622,384.4572472
5,6,ALDERPOINT,04-0088,40.1833,-123.6167,46.49619249,81.03952612,84.19505456,104.5600578,147.7949878,214.2027814,326.1782404,721.9596249,1018.381571,1.830558759,3.190532524,3.314765928,4.116537709,5.818700307,8.43318037,12.84166301,28.42360728,40.09376264,349.9533236,667.0598614,737.8332939,1032.794131,1534.738637,3069.477273,6138.954546,8032.618678,11125.54377,13.77768991,26.26219927,29.04855488,40.66118625,60.42278097,120.8455619,241.6911239,316.2448299,438.0135341
6,7,ALHAMBRA,97-0239,34.0944,-118.1281,24.1922247,33.91919825,45.1204924,66.90971746,130.9963353,218.34011,321.2169808,451.0382435,567.7128554,0.952449791,1.335401506,1.776397339,2.634240845,5.157336035,8.596067323,12.64633783,17.75741116,22.35089982,124.2116699,191.1590814,295.538931,489.8954125,1004.904424,2009.808848,4019.617696,3079.042375,3719.83299,4.890223223,7.525948087,11.63539099,19.28722097,39.5631663,79.1263326,158.2526652,121.2221407,146.4501177
7,8,BADGER,04-0422,36.6286,-119.0117,24.21113681,33.37923096,43.07896701,52.98337347,78.23097895,107.0731191,156.2235283,324.6611739,431.5230095,0.953194363,1.314142951,1.696022323,2.085959585,3.079959801,4.21547713,6.15053261,12.78193598,16.98909486,108.6847424,186.9089887,261.8447798,343.9878147,576.0084802,1152.01696,2304.033921,2634.458197,3307.889552,4.278926868,7.358621603,10.3088496,13.54282735,22.67749922,45.35499844,90.70999689,103.7188267,130.2318721
8,9,BAKER,04-0436,35.2761,-116.0628,12.86474826,16.37251411,24.84804613,35.77487641,61.05302763,82.11001767,103.3549215,109.1960597,131.3481778,0.506486152,0.64458717,0.978269533,1.408459701,2.403662505,3.232677861,4.069091398,4.299057469,5.171188102,51.34214962,67.93948976,117.5072791,184.0658574,328.5438581,657.0877162,1314.175432,614.5802242,719.9906844,2.021344473,2.674783061,4.626270832,7.246687298,12.93479756,25.86959513,51.73919025,24.19607182,28.34608994
9,10,BAKERSFIELD AP,04-0442,35.4344,-119.0542,14.50829103,18.31512931,25.19731189,37.29260041,81.84317595,98.41161691,103.7187129,138.9828409,173.644861,0.57119256,0.721068083,0.992020153,1.468212615,3.222172281,3.874473107,4.083413894,5.47176539,6.83641185,59.80824322,76.71395618,141.1259285,251.9650615,641.5306239,1283.061248,2566.122496,995.0871787,1250.821983,2.354655245,3.020234495,5.556138917,9.919884312,25.25711118,50.51422235,101.0284447,39.17666058,49.24495995
