SN,RP,30mF,30mP,1hF,1hP,2hF,2hP,3hF,3hP,6hF,6hP,12hF,12hP,24hF,24hP,2DF,2DP,3DF,3DP
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,3,0.12755102,2,0.085034014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,25,8,0.340136054,3,0.12755102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,50,15,0.637755102,5,0.212585034,4,0.170068027,0,0,0,0,0,0,0,0,0,0,0,0
8,100,28,1.19047619,13,0.552721088,15,0.637755102,3,0.12755102,1,0.042517007,0,0,0,0,0,0,0,0
9,200,62,2.636054422,35,1.488095238,21,0.892857143,13,0.552721088,0,0,0,0,0,0,0,0,0,0
10,500,47,1.99829932,25,1.06292517,36,1.530612245,11,0.467687075,6,0.255102041,0,0,0,0,0,0,0,0
11,1000,2189,93.06972789,2269,96.47108844,2276,96.76870748,2325,98.85204082,2345,99.70238095,2352,100,2352,100,2352,100,2352,100
