SN,RP,30mF,30mP,1hF,1hP,2hF,2hP,3hF,3hP,6hF,6hP,12hF,12hP,24hF,24hP,2DF,2DP,3DF,3DP
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,16,0.680272109,24,1.020408163,18,0.765306122,54,2.295918367,17,0.722789116,54,2.295918367,50,2.12585034,32,1.360544218,27,1.147959184
3,2,50,2.12585034,76,3.231292517,61,2.593537415,126,5.357142857,80,3.401360544,90,3.826530612,77,3.273809524,51,2.168367347,62,2.636054422
4,5,110,4.676870748,119,5.05952381,122,5.18707483,235,9.991496599,126,5.357142857,178,7.568027211,161,6.845238095,257,10.92687075,254,10.79931973
5,10,445,18.92006803,458,19.47278912,459,19.51530612,397,16.8792517,382,16.2414966,294,12.5,369,15.68877551,349,14.83843537,325,13.81802721
6,25,881,37.45748299,795,33.80102041,852,36.2244898,865,36.77721088,864,36.73469388,845,35.92687075,933,39.66836735,850,36.13945578,1052,44.72789116
7,50,450,19.13265306,382,16.2414966,355,15.09353741,364,15.47619048,408,17.34693878,328,13.94557823,314,13.35034014,279,11.8622449,245,10.41666667
8,100,250,10.6292517,248,10.54421769,300,12.75510204,156,6.632653061,262,11.13945578,262,11.13945578,239,10.16156463,253,10.75680272,200,8.503401361
9,200,120,5.102040816,176,7.482993197,123,5.229591837,100,4.25170068,141,5.994897959,200,8.503401361,110,4.676870748,168,7.142857143,117,4.974489796
10,500,30,1.275510204,74,3.146258503,62,2.636054422,55,2.338435374,72,3.06122449,101,4.294217687,99,4.209183673,113,4.804421769,70,2.976190476
11,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
