SN,RP,30mF,30mP,1hF,1hP,2hF,2hP,3hF,3hP,6hF,6hP,12hF,12hP,24hF,24hP,2DF,2DP,3DF,3DP
1,0,16,0.680272109,24,1.020408163,15,0.637755102,10,0.425170068,6,0.255102041,6,0.255102041,5,0.212585034,14,0.595238095,17,0.722789116
2,1,50,2.12585034,76,3.231292517,46,1.955782313,14,0.595238095,17,0.722789116,54,2.295918367,50,2.12585034,32,1.360544218,27,1.147959184
3,2,112,4.761904762,119,5.05952381,122,5.18707483,126,5.357142857,80,3.401360544,90,3.826530612,77,3.273809524,51,2.168367347,32,1.360544218
4,5,471,20.0255102,458,19.47278912,474,20.15306122,175,7.44047619,126,5.357142857,178,7.568027211,161,6.845238095,257,10.92687075,244,10.37414966
5,10,860,36.56462585,695,29.54931973,832,35.37414966,627,26.65816327,382,16.2414966,294,12.5,369,15.68877551,349,14.83843537,365,15.51870748
6,25,399,16.96428571,382,16.2414966,360,15.30612245,675,28.69897959,772,32.82312925,804,34.18367347,935,39.75340136,828,35.20408163,1018,43.28231293
7,50,256,10.88435374,252,10.71428571,300,12.75510204,324,13.7755102,408,17.34693878,328,13.94557823,304,12.92517007,279,11.8622449,225,9.566326531
8,100,121,5.144557823,186,7.908163265,123,5.229591837,196,8.333333333,262,11.13945578,262,11.13945578,239,10.16156463,253,10.75680272,220,9.353741497
9,200,30,1.275510204,74,3.146258503,35,1.488095238,108,4.591836735,141,5.994897959,202,8.588435374,109,4.634353741,168,7.142857143,117,4.974489796
10,500,19,0.807823129,47,1.99829932,28,1.19047619,60,2.551020408,112,4.761904762,121,5.144557823,99,4.209183673,113,4.804421769,80,3.401360544
11,1000,18,0.765306122,39,1.658163265,17,0.722789116,37,1.573129252,46,1.955782313,13,0.552721088,4,0.170068027,8,0.340136054,7,0.297619048
